variable,codigo_sospechoso,frecuencia,porcentaje
regularins,99,1,0.01524390243902439
residence,-9,320,4.878048780487805
s_sum,-9,5,0.07621951219512195
s_sum,-8,11,0.1676829268292683
selfemployed,-9,17,0.25914634146341464
selfemployed,-8,18,0.274390243902439
sideline,-9,1,0.01524390243902439
sideline,-8,2,0.03048780487804878
size_c,-9,96,1.4634146341463417
size_c,-8,5,0.07621951219512195
size_n,-9,121,1.8445121951219512
size_n,-8,5,0.07621951219512195
socialsecurity,-9,4,0.06097560975609756
socialwelfare,-9,2,0.03048780487804878
status,-8,7,0.10670731707317074
tochildren,-9,9,0.1371951219512195
toothers,-9,16,0.24390243902439024
toparent,-9,5,0.07621951219512195
transferfrom,-9,26,0.39634146341463417
transferto,-9,11,0.1676829268292683
unemployment,-8,1,0.01524390243902439
wage,-9,9,0.1371951219512195
wage,-8,30,0.45731707317073167
wholelifeins,-9,4,0.06097560975609756
year2,-9,39,0.5945121951219512
